Key,Source,Context,Changes,English,French,German,Klingon,Spanish
treasure_claude_offer,,Challenge Info,KgNone,"Hello Friend,\nI don't even know you but I have to share my thoughts in my darkest hour. I've been bitten by one of the monsters and I can feel myself turning. As I fight the urge to eat my own family I feel the need to do one last good deed. Follow this map to one of my many personal stashes. May it keep you alive.\n\nSincerely Claude","Salut camarade,\nJe ne te connais pas, mais je ressens le besoin de partager mes pensées en ces temps si sombres. La morsure de l'un de ces monstres me pousse à me transformer. Alors que je lutte contre l'envie de dévorer ma famille, j'ai besoin de faire une dernière bonne action. Suis cette carte, elle te guidera vers l'une de mes nombreuses réserves personnelles. J'espère qu'elle t'aidera à survivre.\n\nSincèrement, Claude","Hallo Freund!\nIch kenne dich gar nicht, aber ich muss meine Gedanken in meiner dunkelsten Stunde teilen. Ich wurde von einem dieser Monster gebissen und ich spüre, wie ich mich verwandle. Während ich gegen das Verlangen ankämpfe, meine ganze Familie aufzufressen, möchte ich eine letzte gute Tat vollbringen. Folge dieser Karte, um eines meiner vielen persönlichen Verstecke mit Vorräten zu finden. Hoffentlich hält es dich am Leben.\n\nMit besten Grüßen Claude",,"Hola, amigo/a:\nNi siquiera te conozco, pero tengo que compartir mis pensamientos en el peor de los momentos. Uno de esos monstruos me ha mordido. Puedo sentir cómo me estoy convirtiendo. Lucho contra las ganas de comerme a mi propia familia, pero siento la necesidad de hacer una última buena acción. Sigue este mapa, te llevará hacia una de mis muchas reservas personales. Espero que te mantenga con vida.\n\nSinceramente, Claude."
treasure_claude_subtitle,,Challenge Info,KgNone,Claude's Treasure Map,La carte au trésor de Claude,Claudes Schatzkarte,,Mapa del tesoro de Claude
treasure_jennifer,,Challenge Info,KgNone,Jennifer's Treasure Map,La carte au trésor de Jennifer,Jennifers Schatzkarte,,Mapa del tesoro de Jennifer
treasure_jennifer_offer,,Challenge Info,KgNone,"To whomever finds this note,\nFriend the end is near. The monsters are breaking down my door but in my final moments I can only think of how I want to be remembered. Not as a coward but as someone who thinks of others. I leave you this map to one of my many secret buried chests.\n\nGod Bless You Jennifer","À qui trouvera ce message,\nCamarade, la fin est proche. Les monstres s'apprêtent à enfoncer ma porte. Dans mes derniers instants, je pense à ce que je laisse derrière moi. J'aimerais que les gens pensent à mon altruisme plutôt qu'à ma lâcheté. Je te laisse cette carte qui te guidera vers l'un de mes nombreux coffres secrets enterrés.\n\nQue Dieu te bénisse, Jennifer","An denjenigen, der diese Notiz findet!\nFreund, das Ende ist nahe. Die Monster brechen meine Tür auf, aber in meinen letzten Momenten kann ich nur daran denken, wie ich in Erinnerung bleiben möchte. Nicht als Feigling, sondern als jemand, der an andere denkt. Ich hinterlasse dir diese Karte, die dich zu einer meiner vielen geheimen Truhen führt, die ich vergraben habe.\n\nGott segne dich! Jennifer",,"A quier corresponda:\nAmigo, el final está cerca. Los monstruos están derribando la puerta, pero en mis últimos momentos, solo puedo pensar en cómo quiero que me recuerden. No como una cobarde, sino como alguien que pensaba en los demás. Te dejo este mapa. Lleva hacia uno de mis muchos cofres secretos enterrados.\n\nDios te bendiga, Jennifer."
treasure_jennifer_subtitle,,Challenge Info,KgNone,Jennifer's Treasure Map,La carte au trésor de Jennifer,Jennifers Schatzkarte,,Mapa del tesoro de Jennifer
treasure_nickole,,Challenge Info,KgNone,Nickole's Treasure Map,La carte au trésor de Nickole,Nickoles Schatzkarte,,Mapa del tesoro de Nickole
treasure_nickole_offer,,Challenge Info,KgNone,"To whom it may concern,\nIf you've come to possess this note than quite possibly I've been eaten by the dead. Follow this map to one of my many valuable treasure locations I buried to keep safe from Crazy Jake. If you find it may you make good use of it.\n\nBest Wishes Nickole","À qui lira ce message,\nSi tu as ces mots en ta possession, c'est que les morts ont fini par me dévorer. Suis cette carte pour trouver l'un des nombreux et précieux trésors que j'ai protégés de Jake le cinglé. Si tu le trouves, utilise-le à bon escient.\n\nAmicalement, Nickole","An alle, die es angeht!\nWenn du im Besitz dieser Notiz bist, dann ist es gut möglich, dass ich von den Toten aufgefressen wurde. Folge dieser Karte zu einem meiner Verstecke mit wertvollen Schätzen, die ich vergraben habe, damit Crazy Jake sie nicht findet. Wenn du es findest, mach das Beste daraus.\n\nLiebe Grüße Nickole",,"A quien corresponda:\nSi encontraste esta nota, probablemente fui cena de los muertos. Sigue este mapa para encontrar uno de mis muchos tesoros. Están enterrados bajo tierra para ocultarlos de Jake el Loco. Si lo encuentras, espero que te sea útil.\n\nBuena suerte, Nickole."
treasure_nickole_subtitle,,Challenge Info,KgNone,Nickole's' Treasure Map,La carte au trésor de Nickole,Nickoles Schatzkarte,,Mapa del tesoro de Nickole
treasure_raphael,,Challenge Info,KgNone,Raphael's Treasure Map,La carte au trésor de Raphael,Raphaels Schatzkarte,,Mapa del tesoro de Raphael
treasure_raphael_offer,,Challenge Info,KgNone,"Dear Stranger,\nI've got the cold sweats and it won't be long. All I can think of in my final hour is if my son Joey is still alive. I have no reason to trust you but I have no choice. Crazy Jake has kidnapped him. In your hand is a map to one of my many secret supply caches. Promise me if you find it you'll help my son.\n\nI'm counting on you Raphael","Bonjour,\nJ'ai des sueurs froides et il ne me reste pas longtemps à vivre. Dans ma dernière heure, une seule pensée m'obsède : et si mon fils Joey était toujours en vie ? Je n'ai aucune raison de te faire confiance, mais je n'ai pas d'autre choix. Jake le cinglé l'a enlevé. Tu as entre les mains la carte vers l'une de mes nombreuses cachettes secrètes de provisions. Promets-moi que si tu la trouves, tu iras aider mon fils.\n\nJe compte sur toi, Raphael.","Lieber Fremder!\nDer kalte Schweiß ist ausgebrochen, jetzt dauert es nicht mehr lange. In meinen letzten Momenten kann ich nur daran denken, ob mein Sohn Joey noch lebt. Ich habe keinen Grund, dir zu vertrauen, aber mir bleibt nichts anderes übrig. Crazy Jake hat ihn entführt. Du hältst eine Karte zu einem meiner vielen geheimen Vorratslager in Händen. Versprich mir, dass du meinem Sohn helfen wirst, wenn du es findest.\n\nIch zähle auf dich! Raphael",,"Querido/a extraño/a:\nTengo escalofríos y no duraré mucho más. Todo lo que puedo pensar en mis últimos momentos es si mi hijo Joey seguirá vivo. No tengo razones para confiar en ti, pero tampoco tengo alternativa. Jake el Loco lo secuestró. En las manos tienes un mapa que te llevará hacia uno de mis muchos escondites de suministros secretos. Prométeme que si lo encuentras, ayudarás a mi hijo.\n\nCuento contigo, Raphael."
treasure_raphael_subtitle,,Challenge Info,KgNone,Raphael's Treasure Map,La carte au trésor de Raphael,Raphaels Schatzkarte,,Mapa del tesoro de Raphael
treasure_sarah,,Challenge Info,KgNone,Sarah's Treasure Map,La carte au trésor de Sarah,Sarahs Schatzkarte,,Mapa del tesoro de Sarah
treasure_sarah_offer,,Challenge Info,KgNone,"If you found this note,\nThis may be your lucky day. I've been bitten by one of the creatures and the fever has taken hold. I don't have long but the least I could do before I turn is help someone, anyone as God would want me to. If there is still a God. So I leave you with this map to one of my many buried supply chests.\n\nTo a new life Sarah","Si tu as trouvé ce message,\nC'est ton jour de chance. J'ai été mordue par l'une des créatures et ma fièvre est de plus en plus forte. Il ne me reste pas longtemps à vivre, mais le moins que je puisse faire avant de me transformer est d'aider quelqu'un d'autre, n'importe qui, comme Dieu le voudrait. S'il existe encore. Je te laisse donc cette carte qui te guidera vers l'un de mes nombreux coffres de provisions enterrés.\n\nAdieu, Sarah","Wenn du diese Notiz gefunden hast,\ndann ist heute vielleicht dein Glückstag. Ich wurde von einer dieser Kreaturen gebissen und das Fieber hat schon eingesetzt. Mir bleibt nicht mehr viel Zeit, aber bevor ich mich verwandle, kann ich zumindest jemandem helfen, so wie es Gott gewollt hätte. Falls es noch einen Gott gibt. Darum hinterlasse ich dir diese Karte, die dich zu einer meiner vielen vergrabenen Vorratstruhen führt.\n\nAuf ein neues Leben! Sarah",,"Al que encuentre esta nota:\nPuede que sea tu día de suerte. Una de esas criaturas me mordió. Tengo mucha fiebre. No me queda mucho tiempo, pero por lo menos puedo ayudar a alguien antes de convertirme. A cualquiera, tal y como Dios querría. Si es que aún hay un Dios. Te dejo este mapa. Lleva hacia uno de mis muchos cofres de suministros enterrados.\n\nPor una vida nueva, Sarah."
treasure_sarah_subtitle,,Challenge Info,KgNone,Sarah's Treasure Map,La carte au trésor de Sarah,Sarahs Schatzkarte,,Mapa del tesoro de Sarah
treasure_stephan,,Challenge Info,KgNone,Stephan's Treasure Map,La carte au trésor de Stephan,Stephans Schatzkarte,,Mapa del tesoro de Stephan
treasure_stephan_offer,,Challenge Info,KgNone,"Dear Friend,\nIf you've got this note than I'm probably dead or even worse one of the monsters. I leave you this map to one of my many stockpiles of buried supplies. If you find it promise me you'll use it to make the world a better place again.\n\nYours Truly Stephan","Camarade,\nSi tu lis ce message, je suis certainement mort ou, pire, je suis devenu l'un des monstres. Je te laisse donc cette carte, qui te guidera vers l'un de mes nombreux stocks enterrés. Si tu le retrouves, promets-moi que tu t'en serviras pour rendre ce monde meilleur.\n\nTon serviteur, Stephan","Lieber Freund!\nWenn du diese Notiz hast, dann bin ich wahrscheinlich tot oder, noch schlimmer, eines von den Monstern. Ich hinterlasse dir diese Karte, die dich zu einem meiner zahlreichen Verstecke führt, wo ich Vorräte vergraben habe. Wenn du es findest, versprich mir, dass du diese Welt damit wieder zu einem besseren Ort machst.\n\nHochachtungsvoll Stephan",,"Querido/a amigo/a:\nSi tienes esta nota, probablemente esté muerto, o peor, puede que sea uno de esos monstruos. Te dejo este mapa. Te llevará a una de mis muchas reservas de suministros enterradas. Si la encuentras, promete que la usarás para hacer de este mundo un lugar mejor otra vez.\n\nCon amor, Stephan."
treasure_stephan_subtitle,,Challenge Info,KgNone,Stephan's Treasure Map,La carte au trésor de Stephan,Stephans Schatzkarte,,Mapa del tesoro de Stephan
treasure_taylor,,Challenge Info,KgNone,Taylor's Treasure Map,La carte au trésor de Taylor,Taylors Schatzkarte,,Mapa del tesoro de Taylor
treasure_taylor_offer,,Challenge Info,KgNone,"Dear Survivor,\nIf you're reading this note than the worst has probably happened and the odds are I'm dead. But rather than let all my stashes of supplies go to waste I'd like you to have one of them. I've marked the location on this map for you.\n\nGood Luck Taylor","Bonjour,\nSi tu lis ce message, c'est que le pire est arrivé et que je n'ai probablement pas survécu. Plutôt que de gaspiller toutes mes réserves, je voudrais que tu en utilises une. L'emplacement est indiqué sur cette carte.\n\nBonne chance, Taylor","Lieber Überlebender!\nWenn du diese Notiz liest, dann ist wohl das Schlimmste eingetreten und ich bin wahrscheinlich tot. Aber da ich nicht möchte, dass niemand etwas von meinen Vorräten hat, sollst du eines meiner Verstecke aufsuchen. Ich habe den Standort auf dieser Karte markiert.\n\nViel Glück! Taylor",,"Querido/a sobreviviente:\nSi estás leyendo esta nota, probablemente sucedió lo peor y la muerte me haya llevado. Pero en lugar de dejar que mi alijo se desperdicie, quiero que tú lo tengas. Marqué su ubicación en este mapa.\n\nBuena suerte, Taylor."
treasure_taylor_subtitle,,Challenge Info,KgNone,Taylor's Treasure Map,La carte au trésor de Taylor,Taylors Schatzkarte,,Mapa del tesoro de Taylor
dialog_trader_response_admin,,Dialogs,New,Admin Options,,,,
dialog_trader_response_background,,Dialogs,New,Can you give me some information?,,,,
dialog_trader_response_cassadores,,Dialogs,New,The Cassadores?,,,,
dialog_trader_response_jobshave,,Dialogs,New,Do you have any jobs?,,,,
dialog_trader_response_jobsnone,,Dialogs,New,Do you have any jobs?,,,,
dialog_trader_response_navezgane,,Dialogs,New,Navezgane?,,,,
dialog_trader_response_nevermind,,Dialogs,New,Nevermind.,,,,
dialog_trader_response_noah,,Dialogs,New,Noah Wright?,,,,
dialog_trader_response_resetquests,,Dialogs,New,Reset Quests,,,,
dialog_trader_response_restock,,Dialogs,New,Restock Inventory,,,,
dialog_trader_response_shop,,Dialogs,New,May I see your inventory?,,,,
dialog_trader_response_theduke,,Dialogs,New,The Duke?,,,,
dialog_trader_response_whiteriveroutposts,,Dialogs,New,White River?,,,,
dialog_trader_statement_admin,,Dialogs,New,Admin Options,,,,
dialog_trader_statement_background,,Dialogs,New,What would you like to know about?,,,,
dialog_trader_statement_cassadores,,Dialogs,New,The Duke's personal band of mercenaries.,,,,
dialog_trader_statement_currentjobs,,Dialogs,New,Do any of these tasks sound like something you can do?,,,,
dialog_trader_statement_navezgane,,Dialogs,New,Navezgane County Arizona one of the last true Eden’s on Earth where crops can still grow which is mostly Apache Indian Reservation territory.,,,,
dialog_trader_statement_noah,,Dialogs,New,"The founder of the White River Settler's Outposts, Noah White stood up to the Duke and is now on the run from the Cassadores.",,,,
dialog_trader_statement_nojobs,,Dialogs,New,I have no work at this time.,,,,
dialog_trader_statement_start,,Dialogs,New,"Hello friend, how can I help you?",,,,
dialog_trader_statement_theduke,,Dialogs,New,"The most powerful man in Navezgane before the war was an ambitious, crooked Native American of Apache decent named 'Duke Cassadore' which means Warrior and Chief in Apache.",,,,
difficulty_easy,,Difficulty,KgNone,Easy,Facile,Einfach,,Fácil
difficulty_hard,,Difficulty,KgNone,Hard,Difficile,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,Insane,Extrême,Irre,,Demente
difficulty_medium,,Difficulty,KgNone,Medium,Moyenne,Mittel,,Medio
difficulty_veryeasy,,Difficulty,KgNone,Very Easy,Très facile,Sehr einfach,,Muy fácil
airDropTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Air Supply Drops can happen around mid-day. Listen for the airplane and follow the orange smoke to find the crate the plane drops. You can also find supply crates marked on your map if the mark air drops option is enabled.,Des parachutages de provisions peuvent avoir lieu autour de midi. Tendez l'oreille pour repérer les avions et suivez la fumée orange pour trouver la caisse parachutée. Vous pouvez également repérer des caisses de provisions sur votre carte si l'option de marquage des parachutages est activée.,"Abwürfe von Vorräten können zur Mittagszeit vorkommen. Horche nach den Flugzeugen und folge dem orangefarbenen Rauch, um die Kisten zu finden, die die Flugzeuge fallen gelassen haben. Du kannst Vorratskisten auch auf deiner Karte finden, wenn die Funktion „Abwürfe aus der Luft markieren“ aktiviert ist.",,La entrega aérea de suministros puede suceder alrededor del mediodía. Localiza el zumbido del avión y sigue el humo naranja para encontrar la caja de suministros. También puedes encontrar cajas de suministros en tu mapa si la opción marcar suministros aéreos está activada.
airDropTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Air Drops,Parachutages,Abwurf aus der Luft,,Suministros aéreos
alternateAmmoTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Some weapons have more than one ammo type. Equip the weapon and hold the reload action to see and load the possible ammo types for a weapon.,Certaines armes fonctionnent avec plusieurs types de munitions. Maintenez l'action de rechargement enfoncée pour afficher les types de munitions possibles d'une arme et recharger.,"Einige Waffen funktionieren mit mehr als einem Munitionstyp. Halte die Aktion „Nachladen“, um die möglichen Munitionstypen für eine Waffe anzusehen und zu laden.",,Algunas armas cuentan con más de un tipo de munición. Mantén pulsada la acción de recargar para ver y cargar los tipos posibles de munición de un arma.
alternateAmmoTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Alternate Ammo,Munitions alternatives,Munitionstyp wechseln,,Munición alternativa
armorStatsTip,,Journal,New,"Light Armor Rating / Heavy Armor Rating : Tells you which perk (light or heavy armor) affects this item. The armor rating of an item is the damage reduction in percent. 90 AR is the maximum and reduces incoming damage by 90%.\n\nEffect Resistance : The basic resistance against stun, bleeding and infection. Resistance against bleeding and infection is higher than the basic value.\n\nStamina /s: Wearing this armor costs you extra stamina while walking or running. Armor perks can mitigate this.\nMobility : Wearing this armor reduces your movement speed by this much. Armor perks can mitigate this.\nNoise Increase : Heavier armor tends to be noisy, making a stealthy approach harder.\n\nMax Durability : The number of hits that this piece or armor can take.\n\nCold Resist / Heat Resist : Typically found on clothing and not on armor. The higher the better. Can be added to armor by installing mods.",,,,
armorStatsTip_title,,Journal,New,Armor Statistics,,,,
meleeWeaponStatsTip,,Journal,New,"Melee Damage : The damage including installed mods but not perk bonuses that the primary attack does to an enemy.\nPower Attack Damage : The damage of the secondary attack. Some weapon types and perks add special abilities or effects to power attacks.\nBlock Damage : A primary attack does this much damage to a block or decoration in the game world. Some tools are ineffective against certain materials, like bladed weapons against rock.\n\nStamina Cost : Melee tools and weapons cost stamina each swing. Power attacks cost a lot more stamina.\n\nMagazine Size : Motor tools use fuel but no stamina and they tend to be noisy.\n\nAttacks / Minute : The swing or in the case of motor tools, attack speed.\n\nMax Durability : The number of attacks you can perform until the item needs repairs.",,,,
meleeWeaponStatsTip_title,,Journal,New,Melee Weapon Statistics,,,,
rangedWeaponStatsTip,,Journal,New,"Ranged Damage : The damage done to an enemy. Includes installed mods and loaded ammunition but not perk bonuses.\nDamage / Pellet, Pellets : Basic shotgun shells shoot multiple pellets that can hit targets independently. The damage is given for each pellet.\nExplosion Damage / Radius : The damage to enemies at the center of the explosion with the radius given in meters.\nBlock Damage : Most ranged weapons do very little block damage compared to harvesting tools. Some types of explosives do very high block damage.\n\nProjectile Velocity : Advanced bows / crossbows and ammo types have higher projectile speeds which means a flatter trajectory.\nMagazine Size : The obvious.\nRounds / Minute : The rate of fire of this weapon.\nEffective Range : At this range the projectile starts to lose power until it reaches the Maximum Range where it does 0 damage. The maximum range is always much higher than the Effective range.",,,,
rangedWeaponStatsTip_title,,Journal,New,Ranged Weapon / Ammo Statistics,,,,
augmentGunsTip,,Journal,EnChanged,"Items like guns, melee weapons and armor can be upgraded by installing mods.\nEvery mod that takes up a mod slot increases a weapon's damage.\n\nClick the “Modify” action in the item inspect window and then drag the mod into a free slot.",,,,
augmentGunsTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Mod Items,Améliorer les armes à feu,Waffen verbessern,,Pistolas mejoradas
batteryBankTip,,Journal,,"The Battery Bank allows you to power your electrical components. It requires at least one battery, expandable up to six. The maximum energy output is determined by the number of batteries installed and their quality. An externally powered and turned on Battery Bank will recharge its batteries. If there are no batteries installed it acts as a relay pushing power down line. Requires a wire tool to add and cut wires between electrical components.",,,,
batteryBankTip_title,,Journal,,Battery Bank,,,,
bedrollTip,,Journal,EnChanged,"When you place a Bedroll you will see a Bed Icon on your compass and map. This will lead you back to your home and will act as a respawn point if you die. You can only have one bedroll active and your last placed bedroll is your active bedroll. Placing a new bed or picking up the last placed bed will permanently clear all previous respawn points. A placed and active bedroll will prevent enemy respawn in the area.
",,,,
bedrollTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Bedroll,Sac de couchage,Schlafsack,,Saco de dormir
cameraTip,,Journal,,"If you have an aim-able electrical item such as an auto-turret, motion sensor or spotlight you can set its default aim by opening it, clicking into the camera preview area, holding down your primary action and aiming to the desired position. After this is complete hit escape and exit the component.",,,,
cameraTip_title,,Journal,,Camera,,,,
campfireTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,"Campfires are used to keep you warm, cook food, purify water and for simple chemistry. You must place wood or burnable objects in the fuel slots to use it and have all recipe ingredients in your inventory. Craft even more recipes in the campfire by adding a cooking pot, cooking grill or beaker in the utensils slot. Hold E to pick up Workstations within your land claim area.",,,,
campfireTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Campfires,Feux de camp,Lagerfeuer,,Fogatas
cementMixerTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,The Cement Mixer helps you craft concrete and asphalt to make stronger base walls and can mill rocks into sand. To craft recipes here you must have all ingredients in your inventory. Hold E to pick up Workstations within your land claim area.,,,,
cementMixerTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Cement Mixer,Bétonnière,Zementmischer,,Hormigonera
chemistryStationTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,"The Chemistry Station enables you craft additional chemicals, liquids and compounds. While some recipes are also available at a Campfire the Chemistry Station requires fewer resources. To craft recipes here you must have all ingredients in your inventory. Hold E to pick up Workstations within your land claim area.",,,,
chemistryStationTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Chemistry Station,Atelier de chimie,Chemiestation,,Estación de química
coldWeatherTip,,Journal,EnChanged,"If you are getting cold you can combat this by wearing clothing, getting indoors, standing near a lit campfire or forge or carrying a torch.\n\nItems with a higher cold resist rating are better and offer more protection against cold weather. You can see an item's cold resist rating by inspecting it.",,,,
coldWeatherTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Cold Weather,Températures basses,Kaltes Wetter,,Clima frío
encumbranceTip_title,,Journal,New,Encumbrance,,,,
encumbranceTip,,Journal,New,"If you carry too many items in your backpack (inventory) you can become encumbered which lowers your movement speed. Items in your hotbar and worn clothing do not count.\n
Your inventory shows a number of unlocked and locked slots symbolic for how many items you can carry in your inventory without being encumbered. It is not necessary to place items on specific slots. Only the total amount of items in your backpack matters.\n\nThe Pack Mule perk as well as certain mods or drugs unlock more inventory slots, allowing you to carry more without being encumbered.
",,,,
farmingTip,,Journal,EnChanged,Use your fists or any tool to harvest crops. After you have bought the required level in the 'Living Off The Land' perk or found a schematic you can craft seeds from harvested crops. Craft Farm Plots and plant seeds on Farm Plots using the secondary action and increase your harvesting yield through buying more levels of the perk. ,,,,
farmingTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Farming,Culture,Ackerbau,,Agricultura
firstAidTip,,Journal,EnChanged,"Heal yourself or stop bleeding by holding a Bandage, First Aid Bandage, First Aid Kit or Blood Bag and using the primary action. Heal others with the same items using the secondary action.\n\nUse bandages or med kits to restore your max health cap,  which is shown in black on the health bar.",,,,
firstAidTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,First Aid,Premiers soins,Erste Hilfe,,Primeros auxilios
forgeTip,,Journal,EnChanged,Forges are used to smelt metals and other resources to craft recipes. Recipes can only be crafted at the forge using the smelted resources - not items from your inventory.\nInstalling an anvil or bellows will increase performance and installing a crucible allows you to craft steel items.\nHold E to pick up Workstations within your land claim area.,,,,
forgeTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Forges,,,,
generatorBankTip,,Journal,,"The Generator Bank allows you to power your electrical components. It requires at least one engine, expandable up to six. The maximum energy output is determined by the number of engines installed and their quality. The generator bank uses gas for fuel which can be found in loot and purchased at traders or crafted at chemical stations and campfires. Requires a wire tool to add and cut wires between electrical components.",,,,
generatorBankTip_title,,Journal,,Generator Bank,,,,
gunAssemblyTip,deprecated,Journal,EnChanged,To assemble a Gun or Motorized Tool or upgrade it with better parts you must have all the parts in your inventory and have read the schematic. Build it by selecting the part in your inventory and clicking on the “Assemble” action. These recipes will not appear in Crafting menus.,,,,
gunAssemblyTip_title,deprecated,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Item Assembly,Assemblage d'objet,Gegenstand zusammensetzen,,Armado de objeto
harvestTip,,Journal,EnChanged,Use any bladed tool or weapon like a Bone Knife to skin an animal. Using a wrench to break down cars or mechanical items for advanced resources. Perks can increase the harvest yield in several areas.,,,,
harvestTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Harvesting Resources,Récolte des ressources,Rohstoffe abbauen,,Recolección de recursos
hotWeatherTip,,Journal,EnChanged,"If you are overheating you can combat this by wearing clothing, drinking certain beverages, and getting indoors.\n\nItems with a higher heat resist rating are better and offer more protection against hot weather. You can see an item's heat resist rating by inspecting it.",,,,
hotWeatherTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Hot Weather,Températures élevées,Heißes Wetter,,Clima caluroso
landClaimTip,,Journal,,"A land claim grants a hardness modifier to all blocks in your claim area. This hardness modifier applies to any attacks or damage to blocks by enemy players. You can pick up and move electrical components and work stations inside your claim. Electrical Items outside of your claim can be cut and wired by strangers. When placing a block you will see a colored placement preview. Colors are as follows: Green inside your claim, Yellow inside your friends claim, White everywhere else, Red you cannot place the block. You can only have one active land claim block at a time. Placing another will deactivate your previous block. Enemies will not respawn within your claimed area. ",,,,
landClaimTip_title,,Journal,,Land Claim,,,,
lockPickingTip,,Journal,,"Some containers can be unlocked using lockpicks. Hold the interact key when looking at the container and select ""pick lock"" to start picking the lock. You do not have to be holding the lockpicks to do this.",,,,
lockPickingTip_title,,Journal,,Lockpicking,,,,
meleeToolWireToolTip,,Journal,,"Use a wiring tool to connect electrical components. The first component you attach the wire to will be the parent component. Focus on any electrical component and use the secondary action to add a wire to that component and once again to complete the connection to a second component. Focus on any electrical component and use the primary action to remove or cut that components wire to its parent component. With the wire tool equipped you can see many useful things including: a components power usage and current power status, the flow of power represented on the wires by moving pulse from parent component to its child component and the aiming and view cone angle of objects with motion sensing capabilities.",,,,
meleeToolWireToolTip_title,,Journal,,Wire Tool,,,,
miningTip,,Journal,EnChanged,"All biomes have iron ore and a lower chance for all ores. They can be found at any depth.\n\nEach biome has a predominate ore which can be found in that biome near bedrock.\nThese ores per biome are nitrate in snow and wasteland, lead in the forest, coal in the burnt forest, and oil shale in the desert.\nThe desert is special in that you find Oil Shale but no Coal.\n\nOre piles are often found where ore veins exist close to the surface. Dig straight down, not sideways, to find an ore vein.\nClay Soil can be dug up almost everywhere.",,,,
miningTip_title,,Journal,,Mining,Extraction minière,Bergbau,,Minería
onFireTip,,Journal,New,"Some weapons, zombies, or parts of the environment can set you on fire. To extinguish that fire you can jump into water, submerging yourself, or 'drink' an item like a water jar. Drinking water will also prevent being set on fire for 10 seconds.",,,,
onFireTip_title,,Journal,New,On Fire,,,,
paintingTip,,Journal,,Use a paint brush and paint to give your base a custom look. Focus on any paint-able block and use the secondary action to paint a surface and the primary action to erase the paint from a surface. Hold the reload key to see additional painting features and change the desired paint color. Unlock additional paint groups by finding and reading painting books. Creative mode has even more paint features.,,,,
paintingTip_title,,Journal,,Painting,,,,
passthroughTriggeringTip,,Journal,,"Any combination of trigger plates, motion sensors, and trip wires will use Passthrough Triggering. This activates all directly connected trigger components when the Parent is triggered. An example usage of this is surrounding your base with a network of trip wires to sound an alarm.",,,,
passthroughTriggeringTip_title,,Journal,,Passthrough Triggering,,,,
powerAttackTip,,Journal,,Use the primary action to attack enemies and damage structures. Use the secondary action to perform a power attack which does more damage but costs more stamina. Power attacks do not work with repair tools like stone axes and hammers.,,,,
powerAttackTip_title,,Journal,,Power Attack,,,,
quest_WhiteRiverCitizen1_description_title,,Journal,,White River Citizen,Citoyen de la Rivière blanche,Bürger von White River,,Ciudadano de Río Blanco
questTip,,Journal,,The traders now have jobs available for survivors who are up for the challenge. Clear quests require exterminating all zombie and hostile animals from the building. Fetch quests task the player with finding supplies in a building. Hidden Cache quests are similar to fetch quests but have a hotzone mechanic when close to the item. Buried Supply quests have the player track down a buried stash and return the supplies to the trader. These objectives are mix and matched in higher tiers to create harder challenges for the player. There are six quest tier groups the player can complete. Receive special rewards for each quest and graduating each tier.,,,,
questTip_title,,Journal,,Quests,,,,
shapeMenuTip,,Journal,,The Shape menu allows choosing custom shapes for certain blocks. Hold the reload key to see the shape menu and other shape/rotation options.,,,,
shapeMenuTip_title,,Journal,,Shape Menu,,,,
skillPointTip,,Journal,EnChanged,"You have earned Skill Points. Spend them by accessing your Inventory and navigating to the Skills menu, then highlight the desired Attribute or Perk and purchase it. Perks grant you specific abilities and higher perk levels require certain attribute levels.",,,,
skillPointTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Spending Skill Points,Dépense de points de compétence,Fertigkeitspunkte verteilen,,Gastar puntos de habilidad
solarBankTip,,Journal,,"The Solar Bank allows you to power your electrical components. It requires at least one solar cell, expandable up to six. The maximum energy output is determined by the number of solar cells installed and their quality. Solar banks produce power during the day when in direct sunlight. Solar cells can be purchased from traders or found in loot. Requires a wire tool to add and cut wires between electrical components.",,,,
solarBankTip_title,,Journal,,Solar Bank,,,,
