Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
buffArmSprainedName,buffs,Buff,New,Sprained Arm,,,,,
buffArmSprainedTooltip,buffs,Buff,New,Your arm is sprained.,,,,,
buffArrowCriticalBleedoutDesc,buffs,Buff,KgNone,You are bleeding profusely. Use a bandage to stop the bleeding.,Vous saignez abondamment. Utilisez un bandage pour arrêter l'hémorragie.,"Du blutest stark. Benutze einen Verband, um die Blutung zu stoppen.",,Estás sangrando bastante. Usa un vendaje para detener la hemorragia.,
buffArrowCriticalBleedoutName,buffs,Buff,KgNone,Bleeding,Saignement,Bluten,,Sangrando,
buffArrowCriticalBleedoutTooltip,buffs,Buff,KgNone,You are bleeding profusely. Use a bandage to stop the bleeding.,Vous saignez abondamment. Utilisez un bandage pour arrêter l'hémorragie.,"Du blutest stark. Benutze einen Verband, um die Blutung zu stoppen.",,Estás sangrando bastante. Usa un vendaje para detener la hemorragia.,
buffAutoWeaponsCompleteDesc,buffs,Buff,New,Each kill with automatic weapons boosts your run speed by 20%.,,,,,
buffAutoWeaponsCompleteName,buffs,Buff,New,Automatic Weapons - Completion,,,,,
buffBatterUpSlowDownDesc,buffs,Buff,New,You are moving slower,,,,,
buffBatterUpSlowDownName,buffs,Buff,New,You are slowed,,,,,
buffBatterUpSlowDownTooltip,buffs,Buff,New,You are moving slower,,,,,
buffBluePillDesc,buffs,Buff,New,You chose the blue pill. Inconveniences like hunger won't bother you anymore. Use the Red Pill to debuff.,,,,,
buffBluePillName,buffs,Buff,New,Blue Pill,,,,,
buffBluePillTooltip,buffs,Buff,New,Use the Red Pill to debuff.,,,,,
buffCampfireAOEEffectDesc,buffs,Buff,New,You are warmed by the fire.\n\nCold Resist +15,,,,,
buffCampfireAOEEffectName,buffs,Buff,New,Warming Fire,,,,,
buffCoffeeDesc,buffs,Buff,New,Coffee keeps your stamina up and helps you stay warm for a limited time.,,,,,
buffCoffeeName,buffs,Buff,New,Coffee,,,,,
buffDeadEyeDesc,buffs,Buff,New,Successive kills increase the damage bonus.,,,,,
buffDeadEyeName,buffs,Buff,New,Kill Streak,,,,,
buffDoingHealingWrongDesc,buffs,Buff,New,Food can not heal you if your Max Health (black bar) is low.\n\nMedical items like bandages recover Max Health.,,,,,
buffDoingHealingWrongName,buffs,Buff,New,Healing Tip,,,,,
buffDoingHealingWrongTooltip,buffs,Buff,New,Use a bandage. Food can not heal you if your max health is low.,,,,,
buffDrowning01Desc,buffs,Buff,KgNone,You cannot breathe here.,Vous n'arrivez pas à respirer.,Du kannst hier nicht atmen.,,No puedes respirar aquí.,
buffDrowning01Name,buffs,Buff,KgNone,Cannot Breathe,Asphyxie,Atemnot,,No puedes respirar,
buffDrowning01Tooltip,buffs,Buff,KgNone,You cannot breathe here.,Vous n'arrivez pas à respirer.,Du kannst hier nicht atmen.,,No puedes respirar aquí.,
buffDrowning02Desc,buffs,Buff,KgNone,You are running out of air.,Vous ne pouvez plus respirer.,Dir geht die Luft aus.,,Te estás quedando sin aire.,
buffDrowning02Name,buffs,Buff,KgNone,Cannot Breathe,Asphyxie,Atemnot,,No puedes respirar,
buffDrowning02Tooltip,buffs,Buff,KgNone,You are running out of air!,Vous ne pouvez plus respirer !,Dir geht die Luft aus!,,¡Casi no te queda aire!,
buffDrowning03Desc,buffs,Buff,KgNone,You are drowning.,Vous vous noyez.,Du ertrinkst.,,Te estás ahogando.,
buffDrowning03Name,buffs,Buff,KgNone,Drowning,Noyade,Ertrinken,,Ahogándote,
buffDrowning03Tooltip,buffs,Buff,KgNone,You are drowning.,Vous vous noyez.,Du ertrinkst.,,Te estás ahogando.,
buffDrugAntibioticsDesc,buffs,Buff,New,Antibiotics cure infections.,,,,,
buffDrugAntibioticsName,buffs,Buff,New,Antibiotics,,,,,
buffDrugAntibioticsTooltip,buffs,Buff,New,You have taken antibiotics,,,,,
buffDrugFortBitesDesc,buffs,Buff,New,You are jacked up on fort bites. Fortitude is enhanced two points and you only take half damage.,,,,,
buffDrugFortBitesName,buffs,Buff,New,Fort Bites,,,,,
buffDrugFortBitesSideEffectDesc,buffs,Buff,New,Side effects may include... wanting more of this drug.,,,,,
buffDrugFortBitesSideEffectName,buffs,Buff,New,Fort Bites Side Effects,,,,,
buffDrugFortBitesTooltip,buffs,Buff,New,You feel invincible.,,,,,
buffDrugHerbalAntibioticsDesc,buffs,Buff,New,Herbal Antibiotics cure infections.,,,,,
buffDrugHerbalAntibioticsName,buffs,Buff,New,Herbal Antibiotics,,,,,
buffDrugHerbalAntibioticsTooltip,buffs,Buff,New,You have taken herbal antibiotics,,,,,
buffDrugHoneyDesc,buffs,Buff,New,Honey cures minor infections if you apply it soon enough. It can also be used in addition to stronger remedies during later stages of infection.,,,,,
buffDrugHoneyName,buffs,Buff,New,Honey,,,,,
buffDrugHoneyTooltip,buffs,Buff,New,You have used honey,,,,,
buffDrugPainkillersDesc,buffs,Buff,EnChanged,You took painkillers. Stuns will affect you less now.,,,,,
buffDrugPainkillersName,buffs,Buff,New,Pain Killers,,,,,
buffDrugPainkillersTooltip,buffs,Buff,New,You took painkillers.,Vous avez pris des antidouleurs.,Du hast Schmerzmittel genommen.,,Tomaste analgésicos.,
buffDrugRecogDesc,buffs,Buff,New,You are high on Recog. Perception is enhanced two points and ranged damage is x4.,,,,,
buffDrugRecogName,buffs,Buff,New,Recog,,,,,
buffDrugRecogSideEffectDesc,buffs,Buff,New,Side effects may include... wanting more of this drug.,,,,,
buffDrugRecogSideEffectName,buffs,Buff,New,Recog Side Effects,,,,,
buffDrugRecogTooltip,buffs,Buff,New,"Cocked, locked, and ready to rock!",,,,,
buffDrugSteroidsDesc,buffs,Buff,KgNone,Reduces swelling and suppresses the symptoms of infection.,Réduit le gonflement et contient les symptômes de l'infection.,Verringert Schwellungen und unterdrückt die Symptome von Infektionen.,,Reducen la hinchazón y eliminan los síntomas de la infección.,
buffDrugSteroidsName,buffs,Buff,KgNone,Steroids,Stéroïdes,Steroide,,Esteroides,
buffDrugSteroidsSideEffectDesc,buffs,Buff,New,Side effects may include... wanting more of this drug.,,,,,
buffDrugSteroidsSideEffectName,buffs,Buff,New,Steroids Side Effects,,,,,
buffDrugSteroidsTooltip,buffs,Buff,New,Suddenly your backpack feels really light.,Réduit le gonflement et contient les symptômes de l'infection.,Verringert Schwellungen und unterdrückt die Symptome von Infektionen.,,Reducen la hinchazón y eliminan los síntomas de la infección.,
buffDrunk01Desc,buffs,Buff,EnChanged,A nice buzz.,"Une sensation agréable. Les effets ont une durée limitée, mais vous vous en moquez.","Ein kleiner Rausch. Dies hält vielleicht eine gewisse Zeit an, aber das ist dir egal.",,"Una deliciosa Buzz. Puede que solo sea durante un rato, pero te da igual.",
buffDrunk01Name,buffs,Buff,EnChanged,Buzzed,Boost à la bière,Bierrausch,,Cerveza Buzz,
buffDrunk01Tooltip,buffs,Buff,EnChanged,A nice buzz. You are feeling rowdy.,Une sensation agréable.,Ein kleiner Rausch.,,Una deliciosa Buzz.,
buffDrunk02Desc,buffs,Buff,KgNone,You are drunk. There may be a duration but you can't figure it out.,"Vous êtes ivre. Les effets ont une durée limitée, mais vous ne la connaissez pas.","Du bist betrunken. Dies hält vielleicht eine gewisse Zeit an, aber du kannst nicht rauskriegen, wie lange.",,"Estás borracho. Puede que solo sea durante un rato, pero no sabes cuánto durará.",
buffDrunk02Name,buffs,Buff,KgNone,Drunk,Ivresse,Betrunken,,Borracho,
buffDrunk02Tooltip,buffs,Buff,KgNone,You are drunk.,Vous êtes ivre.,Du bist betrunken.,,Estás borracho.,
buffDrunkGrandpasAwesomeSauceDesc,buffs,Buff,New,It tastes like brass or ass but your hagglin' ability has never been better.\n+20% better deals on stuff.,,,,,
buffDrunkGrandpasAwesomeSauceName,buffs,Buff,New,Grandpas Awesome Sauce,,,,,
buffDrunkGrandpasAwesomeSauceTooltip,buffs,Buff,New,Tastes like brass or ass. Hard to tell.,,,,,
buffDrunkGrandpasLearningElixirDesc,buffs,Buff,New,It burns going down but now you have a clear head for learn'n stuff.\n+20% XP,,,,,
buffDrunkGrandpasLearningElixirName,buffs,Buff,New,Grandpas Learnin' Elixir,,,,,
buffDrunkGrandpasLearningElixirTooltip,buffs,Buff,New,It burns going down...,,,,,
buffDrunkGrandpasMoonshineDesc,buffs,Buff,New,You are drunk as shit. \n+40% melee damage.\n+70% stamina recovery\n100% Stun Resistance\n+50% damage resistance\n+20 health.,,,,,
buffDrunkGrandpasMoonshineName,buffs,Buff,New,Grandpas Moonshine,,,,,
buffDrunkGrandpasMoonshineTooltip,buffs,Buff,New,You are drunk as shit.,,,,,
buffDysentery01GetBetterDesc,buffs,Buff,New,You feel sick to your stomach and have diarrhea. Your symptoms are reduced by medicine.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost.,,,,,
buffDysentery01GetBetterName,buffs,Buff,New,Treated Dysentery,,,,,
buffDysentery01UntreatedDesc,buffs,Buff,New,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost.,,,,,
buffDysentery01UntreatedName,buffs,Buff,New,Dysentery,,,,,
buffDysentery01UntreatedTooltip,buffs,Buff,New,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.,,,,,
buffDysenteryCureDisplayDesc,buffs,Buff,New,You have taken dysentery medicine which will reduce dysentery that you may be suffering. You can stack dysentery medicines to increase duration.,,,,,
buffDysenteryCureDisplayName,buffs,Buff,New,Dysentery Medicine,,,,,
buffElementColdDesc,buffs,Buff,New,"You are cold. Find clothing, take shelter, equip a torch or build a campfire. When you are cold you will burn more calories.",,,,,
buffElementColdName,buffs,Buff,New,Cold,,,,,
buffElementColdTooltip,buffs,Buff,New,"You are cold. Find clothing, take shelter, equip a torch or build a campfire.",,,,,
buffElementFreezingDesc,buffs,Buff,New,"You are freezing. Find clothing, take shelter, equip a torch or build a campfire. When you're freezing you will burn more calories.","Vous gelez. Trouvez des vêtements, abritez-vous ou construisez un feu de camp. Lorsque vous gelez, vous brûlez plus de calories.","Du frierst. Finde Kleidung, einen Unterschlupf oder mache ein Lagerfeuer. Wenn du frierst, verbrennst du mehr Kalorien.",,"Te estás congelando. Busca ropa, encuentra un refugio o enciende una fogata. Quemas más calorías cuando te estás congelando.",
buffElementFreezingName,buffs,Buff,New,Freezing,Gel,Frieren,,Congelándote,
buffElementFreezingTooltip,buffs,Buff,New,"You are Freezing. Find clothing, take shelter, equip a torch or build a campfire.","Vous gelez. Trouvez des vêtements, abritez-vous ou construisez un feu de camp.","Du frierst. Finde Kleidung, einen Unterschlupf oder mache ein Lagerfeuer.",,"Te estás congelando. Busca ropa, encuentra un refugio o enciende una fogata.",
buffElementHotDesc,buffs,Buff,New,You are hot. Find clothing or take shelter. When you're hot you will get thirsty faster.,,,,,
buffElementHotName,buffs,Buff,New,Hot,,,,,
buffElementHotTooltip,buffs,Buff,New,You are hot. Find clothing or take shelter.,,,,,
buffElementSwelteringDesc,buffs,Buff,New,You are sweltering. Find clothing or take shelter. When you're sweltering you will get thirsty faster.,,,,,
buffElementSwelteringName,buffs,Buff,New,Sweltering,,,,,
buffElementSwelteringTooltip,buffs,Buff,New,You are sweltering.,,,,,
buffElementWetDesc,buffs,Buff,KgNone,You are wet which will make you colder. This may or may not be a good thing.,"L'humidité va vous refroidir. Cela peut être une bonne chose, ou pas.","Du bist nass, wodurch dir kälter wird. Das kann eine gute Sache sein. Oder auch nicht.",,"Estás mojado, lo que te hace estar frío. Esto puede ser algo bueno, o todo lo contrario",
buffElementWetName,buffs,Buff,KgNone,Wetness,Humidité,Nässe,,Mojado,
buffElementWetTooltip,buffs,Buff,KgNone,You are wet.,Vous êtes humide.,Du bist nass.,,Estás mojado.,
buffEncumberedInvDesc,buffs,Buff,New,Moving becomes harder when you are carrying too many items in your inventory. Carry less or unlock more slots with a perk or other means.\n\nThe number is the number of items that are encumbering you.,,,,,
buffEncumberedInvName,buffs,Buff,New,Encumbered,,,,,
buffEncumberedInvTooltip,buffs,Buff,New,You are Encumbered,,,,,
buffGodModeDesc,buffs,Buff,New,You are probably not going to die.,,,,,
buffGodModeName,buffs,Buff,New,God Mode,,,,,
buffGodModeNameShort,buffs,Buff,New,God,,,,,
buffGodModeTooltip,buffs,Buff,New,God Mode Enabled,,,,,
buffHealHealthDesc,buffs,Buff,New,You are recovering health up to your maximum health.\n\nHealth +0.5 / second (food)\nHealth +2 / second (medical items),,,,,
buffHealHealthMaxDesc,buffs,Buff,New,You are recovering from wounds that lowered your maximum health.\n\nMax Health increase per second can be increased by the Physician perk.,,,,,
buffHealHealthMaxName,buffs,Buff,New,Max Health Recovery,,,,,
buffHealHealthName,buffs,Buff,New,Health Recovery,,,,,
buffIllFoodPoisoning01Desc,buffs,Buff,KgNone,You feel sick to your stomach.,Vous avez la nausée.,Dir ist übel.,,Te duele la barriga.,
buffIllFoodPoisoning01Name,buffs,Buff,KgNone,Food Poisoning,Intoxication alimentaire,Lebensmittelvergiftung,,Intoxicación alimenticia,
buffIllFoodPoisoning01Tooltip,buffs,Buff,KgNone,You feel sick to your stomach.,Vous avez la nausée.,Dir ist übel.,,Te duele la barriga.,
buffInfection01GetBetterDesc,buffs,Buff,New,You have a treated mild infection. Continue medication until infection is cleared up.,,,,,
buffInfection01GetBetterName,buffs,Buff,New,Treated Mild Infection,,,,,
buffInfection01UntreatedDesc,buffs,Buff,New,You have a mild infection. Infection will get worse until treated by antibiotics.,,,,,
buffInfection01UntreatedName,buffs,Buff,New,Mild Infection,,,,,
buffInfection01UntreatedTooltip,buffs,Buff,New,You are infected. Take antibiotics to avoid symptoms.,,,,,
buffInfection02GetBetterDesc,buffs,Buff,New,You have a treated serious infection. Continue medication and keep an eye on the wound.\n\nStamina Regeneration -12.5%,,,,,
buffInfection02GetBetterName,buffs,Buff,New,Treated Infection,,,,,
buffInfection02UntreatedDesc,buffs,Buff,New,You have a serious infection. If left untreated it could lead to severe infection which can cause death. Take antibiotics as soon as possible. \n\nStamina Regeneration -25%,,,,,
buffInfection02UntreatedName,buffs,Buff,New,Infection,,,,,
buffInfection02UntreatedTooltip,buffs,Buff,New,You are seriously infected. Take antibiotics as soon as possible.,,,,,
buffInfection03GetBetterDesc,buffs,Buff,New,You have a treated life threatening severe infection. Continue Medication and avoid contact with infectious substances.\n\nStamina Regeneration -17%\nAll Attributes -1,,,,,
buffInfection03GetBetterName,buffs,Buff,New,Treated Severe Infection,,,,,
buffInfection03UntreatedDesc,buffs,Buff,New,You have a life threatening severe infection. Take antibiotics immediately.\n\nStamina Regeneration -35%\nAll Attributes -1,,,,,
buffInfection03UntreatedName,buffs,Buff,New,Severe infection,,,,,
buffInfection03UntreatedTooltip,buffs,Buff,New,Your infection is life threatening. Take antibiotics or become one of the dead!,,,,,
buffInfection04Tooltip,buffs,Buff,New,You have died from an infection.,,,,,
buffInfectionCureDisplayDesc,buffs,Buff,New,You have taken antibiotic medicine which will reduce infection that you may be suffering. You can stack antibiotic medicines to increase duration.,,,,,
buffInfectionCureDisplayName,buffs,Buff,New,Antibiotic Medicine,,,,,
buffInjuryBleedingDesc,buffs,Buff,KgNone,"You are bleeding. Use a bandage, first aid bandage or first aid kit to stop the bleeding.","Vous vous videz de votre sang et allez bientôt mourir. Utilisez un bandage, un bandage médical ou une trousse de premiers soins.","Du verblutest und wirst bald sterben. Stoppe die kritische Blutung mit einem Verband, Erste-Hilfe-Verband oder Verbandskasten.",,"Te estás desangrando y morirás pronto. Evita desangrarte usando vendajes, vendajes de primeros auxilios o botiquines de primeros auxilios.",
buffInjuryBleedingName,buffs,Buff,KgNone,Bleeding,Hémorragie,Verbluten,,Hemorragia,
buffInjuryBleedingSignalDesc,buffs,Buff,New,You have inflicted the maximum amount of Bleeding Wounds on your target. Power attacks with bladed weapons will now do the highest damage they can.,,,,,
buffInjuryBleedingSignalName,buffs,Buff,New,Bleeding Wounds,,,,,
buffInjuryBleedingSignalTooltip,buffs,Buff,New,Your target is bleeding profusely.,,,,,
buffInjuryBleedingTooltip,buffs,Buff,KgNone,You are bleeding. Use a bandage to stop the bleeding.,Vous vous videz de votre sang. Utilisez un bandage pour arrêter l'hémorragie.,"Du verblutest. Benutze einen Verband, um die Blutung zu stoppen.",,Te estás desangrando. Usa un vendaje para detener la hemorragia.,
buffInjuryCrippled01Desc,buffs,Buff,New,Your leg has been crippled,,,,,
buffInjuryCrippled01Name,buffs,Buff,New,Crippled,,,,,
buffInjuryCrippled01Tooltip,buffs,Buff,New,Your leg has been crippled,,,,,
buffInjuryKnockdown01Desc,buffs,Buff,KgNone,You have been knocked down.,Vous subissez un étourdissement.,Du bist gelähmt.,,Estás aturdido.,
buffInjuryKnockdown01Name,buffs,Buff,KgNone,Knockdown,Étourdissement,Gelähmt,,Aturdido,
buffInjuryStunned01Desc,buffs,Buff,KgNone,You are stunned,Vous subissez un étourdissement.,Du bist gelähmt.,,Estás aturdido.,
buffInjuryStunned01Name,buffs,Buff,KgNone,Stunned,Étourdissement,Gelähmt,,Aturdido,
buffInjuryStunned01Tooltip,buffs,Buff,KgNone,You are stunned,Vous subissez un étourdissement.,Du bist gelähmt.,,Estás aturdido.,
buffInternalBleedingDesc,buffs,Buff,KgNone,You are bleeding internally. Better hope you find an emergency room in time.,Vous souffrez d'une hémorragie interne. Priez pour trouver les urgences à temps.,Du hast innere Blutungen. Hoffentlich findest du rechtzeitig eine Notfallaufnahme.,,Tienes una hemorragia interna. Será mejor que vayas a urgencias cuanto antes.,
buffInternalBleedingName,buffs,Buff,KgNone,Internal Bleeding,Hémorragie interne,Innere Blutung,,Hemorragia interna,
buffInternalBleedingTooltip,buffs,Buff,KgNone,You are bleeding internally. Better hope you find an emergency room in time.,Vous souffrez d'une hémorragie interne. Priez pour trouver les urgences à temps.,Du hast innere Blutungen. Hoffentlich findest du rechtzeitig eine Notfallaufnahme.,,Tienes una hemorragia interna. Será mejor que vayas a urgencias cuanto antes.,
buffIsOnFireDesc,buffs,Buff,EnChanged,You are on fire.\n\nStanding in water or being out in the rain has a chance to douse fire.\n\nYou can also use any jar or can of drink to extinguish the fire.,Vous êtes en feu. Jetez-vous dans l'eau pour éteindre les flammes.,"Du stehst in Flammen. Geh schnell ins Wasser, um sie zu löschen.",,Estás ardiendo. Métete en el agua para apagarlo.,
buffIsOnFireName,buffs,Buff,KgNone,Burning,En feu,Brennen,,En llamas,
buffIsOnFireTooltip,buffs,Buff,EnChanged,You are on fire. Get into water or use a drink item to douse it.,Vous êtes en feu. Jetez-vous dans l'eau pour éteindre les flammes.,"Du stehst in Flammen. Geh schnell ins Wasser, um sie zu löschen.",,Estás ardiendo. Métete en el agua para apagarlo.,
buffLegBrokenDesc,buffs,Buff,KgNone,Your broken leg is slowing you down. You should craft and apply a splint.,Votre jambe cassée vous ralentit. Vous devriez fabriquer une attelle et la poser.,Dein gebrochenes Bein macht dich langsamer. Du solltest eine Schiene fertigen und verwenden.,,Tu pierna fracturada te está ralentizando. Deberías fabricar y colocarte una tablilla.,
buffLegBrokenName,buffs,Buff,KgNone,Broken Leg,Jambe cassée,Gebrochenes Bein,,Pierna fracturada,
buffLegBrokenTooltip,buffs,Buff,KgNone,Your leg is broken. A splint could speed up healing.,Votre jambe est cassée. Une attelle pourrait accélérer la guérison.,Dein Bein ist gebrochen. Mit einer Schiene könnte es schneller heilen.,,Tu pierna está fracturada. Una tablilla puede hacer que se cure más pronto.,
buffLegCastDesc,buffs,Buff,New,Your leg is in a cast and will now heal faster. Avoid jumping from heights as this does not protect against reinjuring your leg.,,,,,
buffLegCastName,buffs,Buff,New,Plaster Cast (Leg),,,,,
buffLegCastTooltip,buffs,Buff,New,Your leg is in a cast. Give it time to heal.,,,,,
buffLegSplintedDesc,buffs,Buff,KgNone,Your leg is splinted. Give it time to heal. Avoid jumping from heights as splints do not protect against reinjuring your leg.,Votre jambe porte une attelle. Laissez-lui le temps de guérir. Évitez de sauter de haut car les attelles ne vous protègent pas contre de nouvelles blessures à la jambe.,"Dein Bein ist geschient. Gib ihm Zeit zum Heilen. Vermeide es, von Höhen herabzuspringen, denn Schienen schützen dein Bein nicht vor einer neuen Verletzung.",,Tu pierna está entablillada. Dale tiempo para que se cure. Evita saltar desde sitios altos ya que usar una tablilla no quiere decir que no te puedas volver a lastimar la pierna.,
buffLegSplintedName,buffs,Buff,KgNone,Splinted Leg,Jambe sous attelle,Geschientes Bein,,Pierna entablillada,
buffLegSplintedTooltip,buffs,Buff,KgNone,Your leg is splinted. Give it time to heal.,Votre jambe porte une attelle. Laissez-lui le temps de guérir.,Dein Bein ist geschient. Gib ihm Zeit zum Heilen.,,Tu pierna está entablillada. Dale tiempo para que se cure.,
buffLegSprainedDesc,buffs,Buff,EnChanged,Your leg is sprained and slowing you down. This will take some time to heal.,Vous souffrez d'une entorse à la jambe qui vous ralentit. Vous devriez fabriquer une attelle et la poser pour la soigner.,"Dein Bein ist verstaucht und macht dich langsamer. Du solltest eine Schiene fertigen und verwenden, damit es heilen kann.",,Tu esguince te está ralentizando. Deberías fabricar una tablilla y colocártela para que se cure.,
buffLegSprainedName,buffs,Buff,KgNone,Sprained Leg,Entorse à la jambe,Verstauchtes Bein,,Esguince,
buffLegSprainedTooltip,buffs,Buff,KgNone,Your leg is sprained.,Vous souffrez d'une entorse à la jambe. Il vous faut une attelle pour la soigner plus vite.,"Dein Bein ist verstaucht. Du brauchst eine Schiene, damit es schneller heilt.",,Tienes un esguince. Necesitas una tablilla para que se cure más rápido.,
buffMegaCrushDesc,buffs,Buff,New,You will run faster and get less exhausted from it.\n\nIt's got electrolytes!,,,,,
buffMegaCrushName,buffs,Buff,New,Mega Crush!,,,,,
buffMegaCrushTooltip,buffs,Buff,New,You feel like crushing your enemies!,,,,,
buffNearDeathTraumaDesc,buffs,Buff,New,Your minor setback has created some experience debt. Gain experience to work off the debt.\n\nTry not to almost-die for a while.\nThat would be great.,,,,,
buffNearDeathTraumaName,buffs,Buff,New,Near Death Trauma,,,,,
buffNewbieCoatDesc,buffs,Buff,New,You are temporarily protected from heat and cold.\n\nThere is no XP penalty on death.\n\nThis protection will decrease and disappear at level 6 so think ahead.,,,,,
buffNewbieCoatName,buffs,Buff,New,Elemental Protection,,,,,
buffNewbieCoatTooltip,buffs,Buff,New,You are temporarily protected from the elements.,,,,,
buffPerkCharismaticNatureDesc,buffs,Buff,New,You are being inspired!,,,,,
buffPerkGunslingerBonusDesc,buffs,Buff,New,,,,,,
buffPerkGunslingerBonusName,buffs,Buff,New,Gunslinger Bonus,,,,,
buffPerkGunslingerDesc,buffs,Buff,New,,,,,,
buffPerkGunslingerName,buffs,Buff,New,Gunslinger,,,,,
buffPerkKillStreakDesc,buffs,Buff,New,Gain a stacking bonus by killing multiple enemies in a row with only one bullet each.,,,,,
buffPerkKillStreakName,buffs,Buff,New,Kill Streak,,,,,
buffPerkPummelPeteBonusDesc,buffs,Buff,New,Multiple hits in a short time will grant you bonus damage.,,,,,
buffPerkPummelPeteBonusName,buffs,Buff,New,Pummel Pete Bonus,,,,,
buffPerkPummelPeteDesc,buffs,Buff,New,The next hit with a club will do 100% bonus damage.damage.,,,,,
buffPerkPummelPeteName,buffs,Buff,New,Pummel Pete,,,,,
buffPuking01Name,buffs,Buff,EnChanged,Stuffed,,,,,
buffRadiation03Desc,buffs,Buff,KgNone,You have entered a Deadly Radiation zone!,Vous pénétrez dans une zone de radiations mortelles !,Du hast eine Zone mit tödlicher Strahlung betreten!,,¡Has entrado en una zona de Radiación letal!,
buffRadiation03Name,buffs,Buff,KgNone,Deadly Radiation,Radiations mortelles,Tödliche Strahlung,,Radiación letal,
buffRadiation03Tooltip,buffs,Buff,KgNone,You have entered a Deadly Radiation zone!,Vous pénétrez dans une zone de radiations mortelles !,Du hast eine Zone mit tödlicher Strahlung betreten!,,¡Has entrado en una zona de Radiación letal!,
buffRedTea,buffs,Buff,New,Efficient Digestion,,,,,
buffRedTeaDesc,buffs,Buff,New,Exertion will not make you hungry and thirsty as quickly.\n\nFood cost of regenerating stamina -15%\nWater cost of regenerating stamina -20%,,,,,
buffRingOfFireDesc,buffs,Buff,New,Make everything around you fall into a burning ring of fire.,,,,,
buffRingOfFireEffectDesc,buffs,Buff,New,You fell into a burning ring of fire,,,,,
buffRingOfFireEffectName,buffs,Buff,New,Ring of Fire,,,,,
buffRingOfFireEffectNameShort,buffs,Buff,New,RoF,,,,,
buffRingOfFireName,buffs,Buff,New,Ring of Fire,,,,,
buffShamChowderDesc,buffs,Buff,New,Sham Chowder increases your Fortitude and grows chest hair!,,,,,
buffShamChowderName,buffs,Buff,New,Sham Chowder,,,,,
buffShockedDesc,buffs,Buff,New,This is quite shocking indeed.,,,,,
buffShockedName,buffs,Buff,New,Shocked,,,,,
buffShockedTooltip,buffs,Buff,New,You are shocked.,,,,,
buffStatusHungry01Desc,buffs,Buff,New,You are hungry.\nYour maximum stamina is reduced.,Vous avez faim.,Du bist hungrig.,,Tienes hambre.,
buffStatusHungry01Name,buffs,Buff,KgNone,Hungry,Faim,Hungrig,,Hambriento,
buffStatusHungry01Tooltip,buffs,Buff,KgNone,You are hungry. Your maximum stamina is reduced.,Vous avez faim.,Du bist hungrig.,,Tienes hambre.,
buffStatusHungry02Desc,buffs,Buff,EnChanged,You are starving. You need to find something to eat soon.\nYour maximum stamina is reduced.\n\nStarvation will kill you eventually.,Vous mourrez de faim.,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.,
buffStatusHungry02Name,buffs,Buff,KgNone,Starving,Famine,Verhungern,,Famélico,
buffStatusHungry02Tooltip,buffs,Buff,EnChanged,You are starving. You need to find something to eat soon.,Vous mourrez de faim.,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.,
buffStatusThirsty01Desc,buffs,Buff,EnChanged,You are thirsty.\nHealth and stamina are recovering slower.,Vous avez soif. Buvez.,Du bist durstig. Trinke Flüssigkeit.,,Tienes sed. Bebe líquidos.,
buffStatusThirsty01Name,buffs,Buff,KgNone,Thirsty,Soif,Durstig,,Sediento,
buffStatusThirsty01Tooltip,buffs,Buff,KgNone,You are thirsty. Drink water to increase your health and stamina recovery.,Vous avez soif. Buvez.,Du bist durstig. Trinke Flüssigkeit.,,Tienes sed. Bebe líquidos.,
buffStatusThirsty02Desc,buffs,Buff,EnChanged,You are dehydrated. Find something to drink!\nHealth and stamina are recovering slower.\n\nDehydration will kill you eventually.,Vous avez très soif et devriez boire beaucoup.,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.,
buffStatusThirsty02Name,buffs,Buff,KgNone,Dehydrated,Déshydratation,Dehydriert,,Deshidratado,
buffStatusThirsty02Tooltip,buffs,Buff,EnChanged,You are dehydrated. Find something to drink!,Vous avez très soif et devriez boire beaucoup.,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.,
buffStatusWoundedName,buffs,Buff,New,Low Health,,,,,
buffStatusWoundedTooltip,buffs,Buff,New,Your maximum health is low. Apply first aid to restore it.,,,,,
buffTazasWrathDesc,buffs,Buff,New,The Killer of Monsters is strengthening your blows.,,,,,
buffTazasWrathName,buffs,Buff,New,Taza's Wrath,,,,,
buffTazasWrathTooltip,buffs,Buff,New,The Killer of Monsters is strengthening your blows,,,,,
buffUrbanCombatAdrenalineRushDesc,buffs,Buff,New,Use the adrenaline rush of combat to energize your body. Armor doesn't slow you down when in combat.,,,,,
buffUrbanCombatAdrenalineRushName,buffs,Buff,New,Adrenaline Rush,,,,,
buffWaterStaminaRegenDesc,buffs,Buff,New,Your stamina is regenerating slightly faster after drinking.\n\nStamina Regeneration +15%,,,,,
